name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
"Central Florida Reception Center, East Unit",https://en.wikipedia.org/wiki/Central_Florida_Reception_Center,"7000 H C Kelley Road Orlando, Florida",open,mixed,mixed,3066,3066,1019,1019,April 2020,1988,1988,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Century Correctional Institution,https://en.wikipedia.org/wiki/Century_Correctional_Institution,"400 Tedder Road Century, Florida",mixed,mixed,mixed,1345,1345,1261,1261,April 2020,1991,1991,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Charlotte Correctional Institution,https://en.wikipedia.org/wiki/Charlotte_Correctional_Institution,"33123 Oil Well Road Punta Gorda, Florida",mixed,mixed,mixed,1291,1291,1208,1208,April 2020,1989,1989,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Columbia Correctional Institution,https://en.wikipedia.org/wiki/Columbia_Correctional_Institution_(Florida),"216 S.E. Corrections Way Lake City, Florida",open,mixed,mixed,2993,2993,909,909,April 2020,1992,1992,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Cross City Correctional Institution,https://en.wikipedia.org/wiki/Cross_City_Correctional_Institution,"568 NE 255th Street Cross City, Florida",mixed,mixed,mixed,1802,1802,1032,1032,April 2020,1972,1972,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Dade Correctional Institution,https://en.wikipedia.org/wiki/Dade_Correctional_Institution,"19000 SW 377th St #200 Florida City, Florida",open,mixed,mixed,1521,1521,1446,1446,April 2020,1996,1996,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Desoto Annex,https://en.wikipedia.org/wiki/Desoto_Annex,"13617 Southeast Highway 70 Arcadia, Florida",open,mixed,mixed,1453,1453,1522,1522,April 2020,1996,1996,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Everglades Correctional Institution,https://en.wikipedia.org/wiki/Everglades_Correctional_Institution,"1599 SW 187th Avenue Miami, Florida",,mixed,mixed,1788,1788,1797,1797,April 2020,1995,1995,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
"Federal Correctional Institution, Coleman","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Coleman","Sumter County, Florida",Operational,Low securityMedium security,mixed,,,1860,2292,2020,,,https://www.bop.gov/locations/institutions/col/,,Federal Bureau of Prisons,,,
Florida State Prison,https://en.wikipedia.org/wiki/Florida_State_Prison,Bradford County,Operational,"Community, Minimum, Medium, Close and Maximum",mixed,1460,1460,1297,1297,April 2020,1961,1961,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Florida Women's Reception Center (FWRC),https://en.wikipedia.org/wiki/Florida_Women%27s_Reception_Center,"3700 NW 111th Place Ocala, Florida",open,mixed,mixed,1345,1345,902,902,April 2020,2012,2012,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Franklin Correctional Institution,https://en.wikipedia.org/wiki/Franklin_Correctional_Institution,"1760 Co Hwy 67 Carrabelle, Florida",mixed,mixed,mixed,1346,1346,974,974,April 2020,2005,2005,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Gadsden Correctional Facility,https://en.wikipedia.org/wiki/Gadsden_Correctional_Facility,"6044 Greensboro Hwy Quincy, Florida",open,"medium, minimum, community",mixed,1544,1544,1220,1220,April 2020,1995,1995,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Management and Training Corporation,,,
Graceville Correctional Facility,https://en.wikipedia.org/wiki/Graceville_Correctional_Facility,"5168 Ezell Road Graceville, Florida",mixed,mixed,mixed,1884,1884,1787,1787,April 2020,2007,2007,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,GEO Group,,,
Hamilton Correctional Institution,https://en.wikipedia.org/wiki/Hamilton_Correctional_Institution,"10650 SW 46th Street Jasper, Florida",open,mixed,mixed,2585,2585,1006,1006,April 2020,1987,1987,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Hamilton Correctional Institution Annex,https://en.wikipedia.org/wiki/Hamilton_Correctional_Institution,"10650 SW 46th Street Jasper, Florida",open,mixed,mixed,2585,2585,1005,1005,April 2020,1987,1987,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Hardee Correctional Institution,https://en.wikipedia.org/wiki/Hardee_Correctional_Institution,"6901 FL-62 Bowling Green, Florida",mixed,mixed,mixed,1541,1541,1346,1346,April 2020,1991,1991,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Holmes Correctional Institution,https://en.wikipedia.org/wiki/Holmes_Correctional_Institution,"3142 Thomas Drive Bonifay, Florida",mixed,mixed,mixed,1185,1185,1148,1148,April 2020,1988,1988,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Jackson Correctional Institution,https://en.wikipedia.org/wiki/Jackson_Correctional_Institution,"5563 10th Street Malone, Florida",open,mixed,mixed,1346,1346,1144,1144,April 2020,1991,1991,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Jefferson Correctional Institution,https://en.wikipedia.org/wiki/Jefferson_Correctional_Institution,"1050 Big Joe Road Monticello, Florida",mixed,mixed,mixed,1179,1179,787,787,April 2020,1990,1990,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Lake City Correctional Facility,https://en.wikipedia.org/wiki/Lake_City_Correctional_Facility,"7906 US-90 Lake City, Florida",mixed (male youthful offender 19–24),mixed,mixed,894,894,879,879,April 2020,1997,1997,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Corrections Corporation of America,,,
Lake Correctional Institution,https://en.wikipedia.org/wiki/Lake_Correctional_Institution,"19225 U.S. 27 Clermont, Florida",mixed,mixed,mixed,1093,1093,1012,1012,April 2020,1973,1973,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Lawtey Correctional Institution,https://en.wikipedia.org/wiki/Lawtey_Correctional_Institution,"22298 Northeast County Road 200B Lawtey, Florida",Mixed,mixed,mixed,832,832,816,816,April 2020,1973,1973,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Liberty Correctional Institution,https://en.wikipedia.org/wiki/Liberty_Correctional_Institution,"11064 NW Dempsey Barron Road Bristol, Florida",mixed,mixed,mixed,1330,1330,1358,1358,April 2020,1989,1989,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Lowell Annex,https://en.wikipedia.org/wiki/Lowell_Correctional_Institution,"Lowell, Marion County, Florida, U.S.",Open,"Community, Minimum, Medium, Close, Death Row (annex)",mixed,2956,"1,456",1304,1304,April 2020,1956,1956,"1456 CI capacity
""Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager""",,Florida Department of Corrections,,,
Lowell Correctional Institution,https://en.wikipedia.org/wiki/Lowell_Correctional_Institution,"Lowell, Marion County, Florida, U.S.",Open,"Community, Minimum, Medium, Close, Death Row (annex)",mixed,2956,1500,804,804,April 2020,1956,1956,"1500 Annex capacity
""Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager""",,Florida Department of Corrections,,,
Madison Correctional Institution,https://en.wikipedia.org/wiki/Madison_Correctional_Institution_(Florida),"382 Southwest MCI Way Madison, Florida",open,mixed,mixed,1189,1189,1009,1009,April 2020,1989,1989,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Marion Correctional Institution,https://en.wikipedia.org/wiki/Marion_Correctional_Institution_(Florida),"3269 NW 105th Street Ocala, Florida",open,mixed,mixed,1324,1324,1330,1330,April 2020,1976,1976,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Martin Correctional Institution,https://en.wikipedia.org/wiki/Martin_Correctional_Institution,"1150 S.W. Allapattah RoadIndiantown, Florida",mixed,mixed,mixed,1509,1509,1466,1466,April 2020,1985,1985,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Mayo Correctional Institution Annex,https://en.wikipedia.org/wiki/Mayo_Correctional_Institution_Annex,"8784 U.S. 27 Mayo, Florida",mixed,mixed,mixed,1345,1345,1401,1401,April 2020,1984,1984,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Moore Haven Correctional Facility,https://en.wikipedia.org/wiki/Moore_Haven_Correctional_Facility,"1282 FL-78, Moore Haven Moore Haven, Florida",mixed,mixed,mixed,985,985,921,921,April 2020,1995,1995,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,GEO Group,,,
Northwest Florida Reception Center (NWFRC),https://en.wikipedia.org/wiki/Northwest_Florida_Reception_Center,"4455 Sam Mitchell Drive Chipley, Florida",mixed,mixed,mixed,2718,2718,1061,1061,April 2020,1994,1994,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Okeechobee Correctional Institution,https://en.wikipedia.org/wiki/Okeechobee_Correctional_Institution,"3420 NE 168th Street Okeechobee, Florida",mixed,mixed,mixed,1632,1632,1758,1758,April 2020,1995,1995,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Polk Correctional Institution,https://en.wikipedia.org/wiki/Polk_Correctional_Institution,"10800 Evans Road Polk City, Florida",mixed,mixed,mixed,1208,1208,1126,1126,April 2020,1978,1978,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Reception and Medical Center,https://en.wikipedia.org/wiki/Reception_and_Medical_Center,"7765 County Road 231 Lake Butler, Florida",open,mixed,mixed,2651,2651,1213,1213,April 2020,1968,1968,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Santa Rosa Correctional Institution,https://en.wikipedia.org/wiki/Santa_Rosa_Correctional_Institution,"5850 E Milton Road Milton, Florida",mixed,mixed,mixed,3092,3092,1330,1330,April 2020,1996,1996,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
South Bay Correctional Facility,https://en.wikipedia.org/wiki/South_Bay_Correctional_Facility,"600 Us Highway 27 South South Bay, Florida",mixed,mixed,mixed,1948,1948,1887,1887,April 2020,1997,1997,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,GEO Group,,,
South Florida Reception Center,https://en.wikipedia.org/wiki/South_Florida_Reception_Center,"14000 NW 41st Street Doral, Florida",open,mixed,mixed,1315,1315,921,921,April 2020,1985,1985,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Sumter Correctional Institution,https://en.wikipedia.org/wiki/Sumter_Correctional_Institution,"9544 C 476B Bushnell, Florida",mixed,mixed,mixed,1639,1639,1018,1018,April 2020,1965,1965,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Suwannee Correctional Institution,https://en.wikipedia.org/wiki/Suwannee_Correctional_Institution,"5964 U.S. 90 Live Oak, Florida",mixed,mixed,mixed,2851,2851,903,903,April 2020,2009,2009,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Taylor Correctional Institution,https://en.wikipedia.org/wiki/Taylor_Correctional_Institution,"8501 Hampton Springs Road Perry, Florida",open,mixed,mixed,2710,2710,956,956,April 2020,1994,1994,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Tomoka Correctional Institution,https://en.wikipedia.org/wiki/Tomoka_Correctional_Institution,"3950 Tiger Bay Road Daytona Beach, Florida",mixed,mixed,mixed,1263,1263,1157,1157,April 2020,1981,1981,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Union Correctional Institution,https://en.wikipedia.org/wiki/Union_Correctional_Institution,"7819 NW 228th Street Raiford, Florida",Open,Mixed,mixed,2172,2172,1724,1724,April 2020,1913,1913,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Wakulla Correctional Institution,https://en.wikipedia.org/wiki/Wakulla_Correctional_Institution,"110 Melaleuca Drive Crawfordville, Florida",mixed,mixed,mixed,2929,2929,1496,1496,April 2020,1996,1996,"Annex Pop = 1087
""Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager""",,Florida Department of Corrections,,,
Walton Correctional Institution,https://en.wikipedia.org/wiki/Walton_Correctional_Institution,"691 Institution Road DeFuniak Springs, Florida",mixed,mixed,mixed,1201,1201,1229,1229,April 2020,1990,1990,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Georgia State Prison,https://en.wikipedia.org/wiki/Georgia_State_Prison,"300 1st Avenue South Reidsville, GeorgiaUnited States",open,mixed,mixed,1550,1550,1427,1427,May 2020,1938,1938,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Lee Arrendale State Prison,https://en.wikipedia.org/wiki/Arrendale_State_Prison,"2023 Gainesville Hwy Alto, Georgia",open,mixed,mixed,1476,1476,717,717,May 2020,1926 / 1951,1926,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
"United States Penitentiary, Atlanta","https://en.wikipedia.org/wiki/United_States_Penitentiary,_Atlanta","Atlanta, Georgia",Operational,Medium-security (with minimum-security prison camp),mixed,,,"1,940 (550 in prison camp)",1959,2020,1902,1902,https://www.bop.gov/locations/institutions/atl/,,Federal Bureau of Prisons,,,
Washington State Prison,https://en.wikipedia.org/wiki/Washington_State_Prison,"13262 GA-24 Davisboro, Georgia",open,minimum and medium security,mixed,1548,1548,1537,1537,May 2020,1991,1991,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Halawa Correctional Facility – Aiea (HCF),https://en.wikipedia.org/wiki/Halawa_Correctional_Facility,"99-902 Moanalua, Aiea, Hawaii",open,mixed,mixed,,,,,,1977,1977,,,Hawaii Department of Public Safety,,,
Idaho State Correctional Center,https://en.wikipedia.org/wiki/Idaho_State_Correctional_Center,"Kuna, Idaho",,mixed security levels,mixed,2160,2160,2168,2168,May 2020,July 2000,2000,"Ammie Mabe
Constituent Services Manager'
amabe@idoc.idaho.gov",,Idaho Department of Corrections,Henry Atencio,,
Lawrence Correctional Center,https://en.wikipedia.org/wiki/Lawrence_Correctional_Center,"10930 Lawrence Road Sumner, Illinois",open,medium/maximum,mixed,2458,2458,2008,2008,April 2020,2001,2001,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
